Number,Container_ID,Updated,Notes,Staging Site,Size,DTW_ft,TD_ft,Capacity2,percent
1,512A,Updated,4.7.23 - SE 1704,ER Ceramics,21000.0,9.6,9.6,0.0,0%
2,526F,Updated,4.7.23 - SE 1705,ER Ceramics,21000.0,9.6,9.6,0.0,0%
3,548A,Updated,4.7.23 - SE 1703,ER Ceramics,21000.0,6.5,9.6,3.1,32%
4,585A,Updated,4.7.23 - SE 1654,South Track,21000.0,9.6,9.6,0.0,0%
5,256929,DO NOT USE,"3.25.230.18 PPM VC SUSTAINED",Tank Farm 3,21000.0,8.4,8.67,0.3,3%
6,501B,PRODUCT,"3.31.23 - GGPPE - TBDSampled on 3.19.23",Tank Farm 3,21000.0,8.4,9.75,1.4,14%
7,251552,DEMOB,4.7.23 Demobilized - JG,Tank Farm 3,0.0,8.67,8.67,0.0,0%
8,251788,DO NOT USE,"4.3.23 - SEBlocked off for cleaning.",Tank Farm 3,21000.0,8.67,8.67,0.0,0%
9,251799,DO NOT USE,"4.3.2023 SERed Tape",Tank Farm 3,21000.0,8.67,8.67,0.0,0%
10,256100,DO NOT USE,"4.3.23 - SECLEANING",Tank Farm 3,21000.0,9.83,9.83,0.0,0%
11,257390,DO NOT USE,"4.3.23 - SEMESK CAP LEAKING 1450",Tank Farm 3,21000.0,8.42,8.67,0.3,3%
12,257393,DO NOT USE,4.3.23 - SE DO NOT LOAD,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
13,266215,DO NOT USE,4.3.23 - Ladder is Broken,Tank Farm 3,21000.0,8.4,8.67,0.3,3%
14,266265,DEMOB,4.7.23 Demobilized - JG,Tank Farm 3,0.0,8.67,8.67,0.0,0%
15,251060,Updated,4.7.23 - MR 2254,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
16,251079,Updated,4.7.23 - MR 2310,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
17,251091,Updated,4.7.23 - MR 2309,Tank Farm 3,21000.0,9.83,9.83,0.0,0%
18,251321,Updated,4.7.23 - MR 2305,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
19,251478,Updated,4.7.23 - MR 2304,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
20,251633,Updated,4.7.23 - MR 2307,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
21,251683,Updated,4.7.23 - MR 2306,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
22,251782,Updated,4.7.23 - MR 0417,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
23,252007,Updated,4.7.23 - MR 2313,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
24,256094,Updated,4.7.23 - MR 2307,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
25,257204,Updated,4.7.23 - MR 2253,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
26,257400,Updated,4.7.23 - MR 2312,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
27,265276,Updated,4.7.23 - MR 2308,Tank Farm 3,21000.0,8.67,8.67,0.0,0%
28,501F,Updated,4.7.23 - MR 2312,Tank Farm 3,21000.0,9.75,9.75,0.0,0%
29,507F,Updated,4.7.23 - MR 2257,Tank Farm 3,18000.0,9.83,9.83,0.0,0%
30,572A,Updated,4.7.23 - MR 2257,Tank Farm 3,21000.0,9.75,9.75,0.0,0%
31,574B,Updated,4.7.23 - MR 2249,Tank Farm 3,21000.0,8.92,9.75,0.8,9%
32,574D,Updated,4.7.23 - MR 2255,Tank Farm 3,18000.0,6.92,7.92,1.0,13%
33,AL4735,Updated,4.7.23 - MR 2248,Tank Farm 3,21000.0,9.75,9.75,0.0,0%
34,251362,DO NOT USE,4.6.23 - SE 1116,Tank Farm 3,21000.0,4.83,8.67,3.8,44%
35,251002,DO NOT USE,"4.5.23 - MR 2208Not accessable. Loose bolt onthe tank ladder",Tank Farm 3,21000.0,2.48,8.67,6.2,71%
36,251026,Updated,4.7.23 - MR 0422,Tank Farm 3,21000.0,3.0,8.67,5.7,65%
37,251543,Updated,4.7.23 - MR 2234,Tank Farm 3,21000.0,2.17,8.67,6.5,75%
38,251650,Updated,4.7.23 - MR 2301,Tank Farm 3,21000.0,1.5,8.67,7.2,83%
39,251688,Updated,4.7.23 - MR 0416,Tank Farm 3,21000.0,4.83,8.67,3.8,44%
40,251694,Updated,4.7.23 - MR 2238,Tank Farm 3,21000.0,1.67,8.67,7.0,81%
41,251871,Updated,4.7.23 - MR 0424,Tank Farm 3,21000.0,2.08,8.67,6.6,76%
42,252651,Updated,4.7.23 - MR 0423,Tank Farm 3,21000.0,3.42,8.67,5.3,61%
43,253085,Updated,4.7.23 - MR 2314,Tank Farm 3,21000.0,5.92,8.67,2.8,32%
44,256043,Updated,4.7.23 - MR 2247,Tank Farm 3,21000.0,6.83,9.83,3.0,30%
45,256169,Updated,4.7.23 - MR 2236,Tank Farm 3,21000.0,2.33,8.67,6.3,73%
46,257225,Updated,4.7.23 - MR 2235,Tank Farm 3,21000.0,2.58,8.67,6.1,70%
47,257516,Updated,4.7.23 - MR 2233,Tank Farm 3,21000.0,2.08,8.67,6.6,76%
48,257761,Updated,4.7.23 - MR 0425,Tank Farm 3,21000.0,0.5,8.75,8.3,94%
49,257925,Updated,4.7.23 - MR 2224,Tank Farm 3,21000.0,2.17,8.67,6.5,75%
50,266384,Updated,4.7.23 - MR 0414,Tank Farm 3,21000.0,6.92,8.67,1.8,20%
51,511A,Updated,4.7.23 - MR 2302,Tank Farm 3,21000.0,1.42,9.83,8.4,86%
52,513A,Updated,4.7.23 - MR 0415,Tank Farm 3,21000.0,2.0,7.9,5.9,75%
53,521B,Updated,4.7.23 - MR 0419,Tank Farm 3,21000.0,1.67,9.83,8.2,83%
54,531A,DO NOT USE,"4.5.23 - SE 1503ACCESS LADDER BROKEN",Tank Farm 3,21000.0,2.83,9.6,6.8,71%
55,532A,Updated,4.7.23 - MR 0418,Tank Farm 3,21000.0,0.33,9.83,9.5,97%
56,537A,Updated,4.7.23 - MR 2241,Tank Farm 3,21000.0,1.5,9.75,8.3,85%
57,542C,Updated,4.7.23 - MR 2229,Tank Farm 3,21000.0,1.67,9.75,8.1,83%
58,560B,Updated,4.7.23 - MR 2244,Tank Farm 3,21000.0,1.75,9.83,8.1,82%
59,564B,Updated,4.7.23 - MR 2238,Tank Farm 3,21000.0,2.17,9.83,7.7,78%
60,566B,Updated,4.7.23 - MR 2259,Tank Farm 3,21000.0,2.25,9.83,7.6,77%
61,570E,Updated,4.7.23 - MR 2226,Tank Farm 3,16000.0,2.58,8.67,6.1,70%
62,573D,Updated,4.7.23 - MR 2228,Tank Farm 3,16000.0,2.58,7.92,5.3,67%
63,586A,Updated,4.7.23 - MR 2223,Tank Farm 3,21000.0,3.75,9.75,6.0,62%
64,592B,Updated,4.7.23 - MR 2231,Tank Farm 3,21000.0,1.67,9.75,8.1,83%
65,593D,Updated,4.7.23 - MR 2258,Tank Farm 3,21000.0,1.33,9.75,8.4,86%
66,AL4216,Updated,4.7.23 - MR 2245,Tank Farm 3,21000.0,1.83,9.75,7.9,81%
67,AL4710,Updated,4.7.23 - MR 2250,Tank Farm 3,21000.0,8.17,9.75,1.6,16%
68,AL4738,Updated,4.7.23 - MR 0416,Tank Farm 3,21000.0,2.0,9.75,7.8,79%
69,AL4754,Updated,4.7.23 - MR 0420,Tank Farm 3,21000.0,1.42,9.75,8.3,85%
70,AL4755,Updated,4.7.23 - MR 0421,Tank Farm 3,21000.0,1.0,9.75,8.8,90%
71,AL4771,Updated,4.7.23 - MR 0417,Tank Farm 3,21000.0,1.58,9.75,8.2,84%
72,AL4787,Updated,4.7.23 - MR 2251,Tank Farm 3,21000.0,2.08,9.75,7.7,79%
73,AL4944,Updated,4.7.23 - MR 2242,Tank Farm 3,21000.0,1.75,9.75,8.0,82%
74,AL5484,Updated,4.7.23 - MR 2250,Tank Farm 3,21000.0,8.17,9.75,1.6,16%
75,AL5645,Updated,4.7.23 - MR 2300,Tank Farm 3,21000.0,1.33,9.75,8.4,86%
76,AL5679,Updated,4.7.23 - MR 2223,Tank Farm 3,21000.0,1.75,9.75,8.0,82%
77,251369,Updated,4.7.23 -  MR 0120,Tank Farm 4,21000.0,1.3333,9.6,8.3,86%
78,251406,Updated,4.7.23 -  MR 0120,Tank Farm 4,21000.0,0.8333,9.6,8.8,91%
79,257165,Updated,4.7.23 -  MR 0119,Tank Farm 4,21000.0,2.1667,9.6,7.4,77%
80,547E,Updated,4.7.23 -  MR 0114,Tank Farm 4,21000.0,2.0833,9.6,7.5,78%
81,553B,Updated,4.7.23 -  MR 0121,Tank Farm 4,21000.0,0.8333,9.6,8.8,91%
82,257271,Updated,4.7.23 -  MR 0121,Tank Farm 4,21000.0,1.75,9.6,7.9,82%
83,265552,Updated,4.7.23 -  MR 0119,Tank Farm 4,21000.0,2.5,9.6,7.1,74%
84,514D,Updated,4.7.23 -  MR 0111,Tank Farm 4,21000.0,2.25,9.6,7.4,77%
85,529D,Updated,4.7.23 -  MR 0115,Tank Farm 4,21000.0,1.25,9.6,8.4,87%
86,530F,Updated,4.7.23 -  MR 0112,Tank Farm 4,21000.0,2.0,9.6,7.6,79%
87,539A,Updated,4.7.23 -  MR 0118,Tank Farm 4,21000.0,2.1667,9.6,7.4,77%
88,541B,Updated,4.7.23 -  MR 0113,Tank Farm 4,21000.0,2.1667,9.6,7.4,77%
89,553A,Updated,4.7.23 -  MR 0117,Tank Farm 4,21000.0,1.25,9.6,8.4,87%
90,562C,Updated,4.7.23 -  MR 0117,Tank Farm 4,21000.0,1.25,9.6,8.4,87%
91,571B,Updated,4.7.23 -  MR 0115,Tank Farm 4,21000.0,1.25,9.6,8.4,87%
92,578D,Updated,4.7.23 -  MR 0116,Tank Farm 4,21000.0,1.25,9.6,8.4,87%
93,252656,DO NOT FILL,"4.3.23 LD @ 1954Per NS emailClean and Out of Service",Tank Farm 5,21000.0,9.6,9.6,0.0,0%
94,256709,DO NOT FILL,"4.3.23 LD @ 1954Per NS emailClean and Out of Service",Tank Farm 5,21000.0,9.6,9.6,0.0,0%
95,251014,Updated,4.7.23 - MR 0426,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
96,255950,Updated,4.7.23 - MR 0208,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
97,257019,Updated,4.7.23 - MR 0426,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
98,266240,Updated,4.7.23 - MR 0209,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
99,555D,Updated,4.7.23 - MR 0201,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
100,257728,Updated,4.7.23 - MR 0210,Tank Farm 5,21000.0,8.5,8.5,0.0,0%
101,260119,Updated,4.7.23 - MR 0202,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
102,508C,Updated,"4.7.23 - MR 0141DECON FRAC ONLY",Tank Farm 5,21000.0,9.6,9.6,0.0,0%
103,516F,Updated,4.7.23 - MR 0214,Tank Farm 5,21000.0,9.6,9.6,0.0,0%
104,538B,Updated,4.7.23 - MR 0211,Tank Farm 5,21000.0,9.5,9.5,0.0,0%
105,540A,Updated,"4.7.23 - MR 0142ROPED OFFDECON FRAC ONLY",Tank Farm 5,21000.0,9.0,9.6,0.6,6%
106,566E,Updated,4.7.23 - MR 0212,Tank Farm 5,21000.0,7.5,7.5,0.0,0%
107,251320,Updated,4.7.23 - MR 0207,Tank Farm 5,21000.0,2.92,9.6,6.7,70%
108,256729,Updated,4.7.23 - MR 0425,Tank Farm 5,21000.0,1.67,9.6,7.9,83%
109,251076,Updated,4.7.23 - MR 0142,Tank Farm 5,21000.0,0.0,9.6,9.6,100%
110,251158,Updated,4.7.23 - MR 0158,Tank Farm 5,21000.0,2.58,9.6,7.0,73%
111,253177,Updated,4.7.23 - MR 0155,Tank Farm 5,21000.0,0.58,8.5,7.9,93%
112,256160,Updated,"4.7.23 - MR 0141DECON WATER",Tank Farm 5,21000.0,2.08,8.5,6.4,75%
