client_sample_id,sample_date,matrix,method,analyte,result,qualifier,RL,MDL,unit,dil fac,EDL
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,1-Trichloroethane",ND,,59,18,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,2,2-Tetrachloroethane",ND,,59,35,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,2-Trichloro-1,2,2-trifluoroethane",ND,,59,16,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1,2-Trichloroethane",ND,,59,13,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1-Dichloroethane",ND,,59,11,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,1-Dichloroethene",ND,,59,19,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2,4-Trichlorobenzene",ND,,59,31,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dibromo-3-Chloropropane",ND,,120,52,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Ethylene Dibromide,ND,,59,19,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dichlorobenzene",ND,,59,28,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dichloroethane",ND,,59,11,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,2-Dichloropropane",ND,,59,8.7,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,3-Dichlorobenzene",ND,,59,11,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,4-Dichlorobenzene",ND,,59,13,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,2-Butanone (MEK),ND,,230,37,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,2-Hexanone,ND,,230,62,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,4-Methyl-2-pentanone (MIBK),ND,,230,56,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Acetone,62,J B,230,57,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Benzene,ND,,59,9.9,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Dichlorobromomethane,ND,,59,14,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Bromoform,ND,,59,54,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Bromomethane,ND,,59,39,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Carbon disulfide,ND,,59,25,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Carbon tetrachloride,ND,,59,24,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chlorobenzene,ND,,59,8.2,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chloroethane,ND,,59,35,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chloroform,ND,,59,13,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chloromethane,ND,,59,16,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"cis-1,2-Dichloroethene",ND,,59,9.4,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"cis-1,3-Dichloropropene",ND,,59,29,mg/Kg,200,
WC-WS1-A1 (2-3),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Cyclohexane,ND,,120,38,mg/Kg,200,
